,REF_DATE,GEO,Gender,Age group,VALUE
0,2020,Ontario,Total - gender,All ages,14761811.0
1,2021,Ontario,Total - gender,All ages,14842488.0
2,2022,Ontario,Total - gender,All ages,15141455.0
3,2023,Ontario,Total - gender,All ages,15623207.0
4,2024,Ontario,Total - gender,All ages,16124116.0
5,2020,Ontario,Total - gender,0 to 4 years,730444.0
6,2021,Ontario,Total - gender,0 to 4 years,720216.0
7,2022,Ontario,Total - gender,0 to 4 years,714869.0
8,2023,Ontario,Total - gender,0 to 4 years,710941.0
9,2024,Ontario,Total - gender,0 to 4 years,714630.0
10,2020,Ontario,Total - gender,5 to 9 years,777455.0
11,2021,Ontario,Total - gender,5 to 9 years,779955.0
12,2022,Ontario,Total - gender,5 to 9 years,785200.0
13,2023,Ontario,Total - gender,5 to 9 years,796300.0
14,2024,Ontario,Total - gender,5 to 9 years,809359.0
15,2020,Ontario,Total - gender,10 to 14 years,803800.0
16,2021,Ontario,Total - gender,10 to 14 years,807179.0
17,2022,Ontario,Total - gender,10 to 14 years,814695.0
18,2023,Ontario,Total - gender,10 to 14 years,825200.0
19,2024,Ontario,Total - gender,10 to 14 years,840013.0
20,2020,Ontario,Total - gender,15 to 19 years,840767.0
21,2021,Ontario,Total - gender,15 to 19 years,824719.0
22,2022,Ontario,Total - gender,15 to 19 years,856327.0
23,2023,Ontario,Total - gender,15 to 19 years,890197.0
24,2024,Ontario,Total - gender,15 to 19 years,913889.0
25,2020,Ontario,Total - gender,20 to 24 years,1025395.0
26,2021,Ontario,Total - gender,20 to 24 years,988890.0
27,2022,Ontario,Total - gender,20 to 24 years,1024473.0
28,2023,Ontario,Total - gender,20 to 24 years,1098456.0
29,2024,Ontario,Total - gender,20 to 24 years,1174907.0
30,2020,Ontario,Total - gender,25 to 29 years,1085649.0
31,2021,Ontario,Total - gender,25 to 29 years,1094116.0
32,2022,Ontario,Total - gender,25 to 29 years,1140145.0
33,2023,Ontario,Total - gender,25 to 29 years,1227507.0
34,2024,Ontario,Total - gender,25 to 29 years,1288977.0
35,2020,Ontario,Total - gender,30 to 34 years,1041463.0
36,2021,Ontario,Total - gender,30 to 34 years,1064707.0
37,2022,Ontario,Total - gender,30 to 34 years,1112723.0
38,2023,Ontario,Total - gender,30 to 34 years,1198063.0
39,2024,Ontario,Total - gender,30 to 34 years,1273694.0
40,2020,Ontario,Total - gender,35 to 39 years,987659.0
41,2021,Ontario,Total - gender,35 to 39 years,1004745.0
42,2022,Ontario,Total - gender,35 to 39 years,1034608.0
43,2023,Ontario,Total - gender,35 to 39 years,1083182.0
44,2024,Ontario,Total - gender,35 to 39 years,1145753.0
45,2020,Ontario,Total - gender,40 to 44 years,921902.0
46,2021,Ontario,Total - gender,40 to 44 years,933676.0
47,2022,Ontario,Total - gender,40 to 44 years,953911.0
48,2023,Ontario,Total - gender,40 to 44 years,992041.0
49,2024,Ontario,Total - gender,40 to 44 years,1041737.0
50,2020,Ontario,Total - gender,45 to 49 years,941297.0
51,2021,Ontario,Total - gender,45 to 49 years,928933.0
