,Year,City,Type of structure,Type of unit,Rent Price
112904,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,631.0
112905,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,791.0
112906,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,949.0
112907,2020,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1036.0
112910,2020,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,754.0
112911,2020,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1046.0
112912,2020,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,631.0
112913,2020,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,791.0
112914,2020,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,950.0
112915,2020,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1035.0
112916,2020,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,633.0
112917,2020,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,828.0
112918,2020,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,970.0
112919,2020,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1070.0
112937,2020,Hawkesbury,Row and apartment structures of three units and over,One bedroom units,802.0
112938,2020,Hawkesbury,Row and apartment structures of three units and over,Two bedroom units,815.0
112939,2020,Hawkesbury,Row and apartment structures of three units and over,Three bedroom units,1235.0
112945,2020,Hawkesbury,Apartment structures of three units and over,One bedroom units,802.0
112946,2020,Hawkesbury,Apartment structures of three units and over,Two bedroom units,815.0
112947,2020,Hawkesbury,Apartment structures of three units and over,Three bedroom units,1235.0
112950,2020,Hawkesbury,Apartment structures of six units and over,Two bedroom units,865.0
113480,2020,Barrie,Row and apartment structures of three units and over,Bachelor units,939.0
113481,2020,Barrie,Row and apartment structures of three units and over,One bedroom units,1191.0
113482,2020,Barrie,Row and apartment structures of three units and over,Two bedroom units,1396.0
113483,2020,Barrie,Row and apartment structures of three units and over,Three bedroom units,1576.0
113486,2020,Barrie,Row structures of three units and over,Two bedroom units,1467.0
113487,2020,Barrie,Row structures of three units and over,Three bedroom units,1513.0
113488,2020,Barrie,Apartment structures of three units and over,Bachelor units,941.0
113489,2020,Barrie,Apartment structures of three units and over,One bedroom units,1187.0
113490,2020,Barrie,Apartment structures of three units and over,Two bedroom units,1393.0
113491,2020,Barrie,Apartment structures of three units and over,Three bedroom units,1646.0
113492,2020,Barrie,Apartment structures of six units and over,Bachelor units,934.0
113493,2020,Barrie,Apartment structures of six units and over,One bedroom units,1212.0
113494,2020,Barrie,Apartment structures of six units and over,Two bedroom units,1412.0
113495,2020,Barrie,Apartment structures of six units and over,Three bedroom units,1662.0
113496,2020,Belleville,Row and apartment structures of three units and over,Bachelor units,835.0
113497,2020,Belleville,Row and apartment structures of three units and over,One bedroom units,1034.0
113498,2020,Belleville,Row and apartment structures of three units and over,Two bedroom units,1152.0
113499,2020,Belleville,Row and apartment structures of three units and over,Three bedroom units,1277.0
113502,2020,Belleville,Row structures of three units and over,Two bedroom units,909.0
113504,2020,Belleville,Apartment structures of three units and over,Bachelor units,835.0
113505,2020,Belleville,Apartment structures of three units and over,One bedroom units,1036.0
113506,2020,Belleville,Apartment structures of three units and over,Two bedroom units,1161.0
113507,2020,Belleville,Apartment structures of three units and over,Three bedroom units,1343.0
113508,2020,Belleville,Apartment structures of six units and over,Bachelor units,908.0
113509,2020,Belleville,Apartment structures of six units and over,One bedroom units,1079.0
113510,2020,Belleville,Apartment structures of six units and over,Two bedroom units,1178.0
113511,2020,Belleville,Apartment structures of six units and over,Three bedroom units,1463.0
113512,2020,Bracebridge,Row and apartment structures of three units and over,Bachelor units,677.0
113513,2020,Bracebridge,Row and apartment structures of three units and over,One bedroom units,886.0
113514,2020,Bracebridge,Row and apartment structures of three units and over,Two bedroom units,1176.0
113515,2020,Bracebridge,Row and apartment structures of three units and over,Three bedroom units,1336.0
113520,2020,Bracebridge,Apartment structures of three units and over,Bachelor units,677.0
113521,2020,Bracebridge,Apartment structures of three units and over,One bedroom units,886.0
113522,2020,Bracebridge,Apartment structures of three units and over,Two bedroom units,1176.0
113523,2020,Bracebridge,Apartment structures of three units and over,Three bedroom units,1336.0
113524,2020,Bracebridge,Apartment structures of six units and over,Bachelor units,677.0
113525,2020,Bracebridge,Apartment structures of six units and over,One bedroom units,888.0
113526,2020,Bracebridge,Apartment structures of six units and over,Two bedroom units,1187.0
113528,2020,Brantford,Row and apartment structures of three units and over,Bachelor units,763.0
113529,2020,Brantford,Row and apartment structures of three units and over,One bedroom units,1050.0
113530,2020,Brantford,Row and apartment structures of three units and over,Two bedroom units,1115.0
113531,2020,Brantford,Row and apartment structures of three units and over,Three bedroom units,1320.0
113534,2020,Brantford,Row structures of three units and over,Two bedroom units,1277.0
113535,2020,Brantford,Row structures of three units and over,Three bedroom units,1453.0
